Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Afghanistan,AFG,2021-03-16,0.14
Afghanistan,AFG,2021-04-07,0.31
Africa,,2021-01-09,0
Africa,,2021-01-13,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0.01
Africa,,2021-01-31,0.01
Africa,,2021-02-01,0.02
Africa,,2021-02-02,0.02
Africa,,2021-02-03,0.03
Africa,,2021-02-04,0.03
Africa,,2021-02-05,0.03
Africa,,2021-02-06,0.04
Africa,,2021-02-08,0.04
Africa,,2021-02-09,0.05
Africa,,2021-02-10,0.06
Africa,,2021-02-11,0.07
Africa,,2021-02-12,0.09
Africa,,2021-02-13,0.11
Africa,,2021-02-15,0.13
Africa,,2021-02-16,0.15
Africa,,2021-02-17,0.16
Africa,,2021-02-18,0.17
Africa,,2021-02-19,0.19
Africa,,2021-02-20,0.2
Africa,,2021-02-21,0.2
Africa,,2021-02-22,0.2
Africa,,2021-02-23,0.21
Africa,,2021-02-24,0.24
Africa,,2021-02-25,0.26
Africa,,2021-02-26,0.27
Africa,,2021-02-27,0.29
Africa,,2021-02-28,0.29
Africa,,2021-03-01,0.31
Africa,,2021-03-02,0.32
Africa,,2021-03-03,0.33
Africa,,2021-03-04,0.34
Africa,,2021-03-05,0.36
Africa,,2021-03-06,0.37
Africa,,2021-03-07,0.38
Africa,,2021-03-08,0.4
Africa,,2021-03-09,0.41
Africa,,2021-03-10,0.44
Africa,,2021-03-11,0.45
Africa,,2021-03-12,0.48
Africa,,2021-03-13,0.51
Africa,,2021-03-14,0.51
Africa,,2021-03-15,0.54
Africa,,2021-03-16,0.55
Africa,,2021-03-17,0.57
Africa,,2021-03-18,0.58
Africa,,2021-03-19,0.61
Africa,,2021-03-20,0.61
Africa,,2021-03-21,0.61
Africa,,2021-03-22,0.62
Africa,,2021-03-23,0.64
Africa,,2021-03-24,0.7
Africa,,2021-03-25,0.72
Africa,,2021-03-26,0.74
Africa,,2021-03-27,0.75
Africa,,2021-03-28,0.77
Africa,,2021-03-29,0.79
Africa,,2021-03-30,0.8
Africa,,2021-03-31,0.83
Africa,,2021-04-01,0.85
Africa,,2021-04-02,0.87
Africa,,2021-04-03,0.88
Africa,,2021-04-04,0.89
Africa,,2021-04-05,0.9
Africa,,2021-04-06,0.93
Africa,,2021-04-07,0.96
Africa,,2021-04-08,0.97
Africa,,2021-04-09,0.98
Africa,,2021-04-10,0.99
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,0
Albania,ALB,2021-01-13,0.01
Albania,ALB,2021-01-14,0.01
Albania,ALB,2021-01-15,0.01
Albania,ALB,2021-01-16,0.01
Albania,ALB,2021-01-17,0.01
Albania,ALB,2021-01-18,0.02
Albania,ALB,2021-01-19,0.02
Albania,ALB,2021-01-20,0.02
Albania,ALB,2021-01-21,0.02
Albania,ALB,2021-02-02,0.02
Albania,ALB,2021-02-09,0.04
Albania,ALB,2021-02-17,0.06
Albania,ALB,2021-02-18,0.11
Albania,ALB,2021-02-19,0.15
Albania,ALB,2021-02-22,0.23
Albania,ALB,2021-02-25,0.35
Albania,ALB,2021-03-01,0.5
Albania,ALB,2021-03-03,0.55
Albania,ALB,2021-03-10,0.75
Albania,ALB,2021-03-12,0.82
Albania,ALB,2021-03-17,1.16
Albania,ALB,2021-03-22,1.68
Albania,ALB,2021-03-23,1.8
Albania,ALB,2021-03-24,1.88
Albania,ALB,2021-03-25,2.06
Albania,ALB,2021-03-26,2.16
Albania,ALB,2021-03-27,2.23
Albania,ALB,2021-03-28,2.71
Albania,ALB,2021-03-30,4.15
Albania,ALB,2021-03-31,4.82
Albania,ALB,2021-04-01,5.4
Albania,ALB,2021-04-02,5.99
Albania,ALB,2021-04-03,6.45
Albania,ALB,2021-04-04,6.7
Albania,ALB,2021-04-05,7.18
Albania,ALB,2021-04-06,7.7
Albania,ALB,2021-04-07,8.07
Albania,ALB,2021-04-08,8.43
Albania,ALB,2021-04-09,8.71
Albania,ALB,2021-04-10,8.92
Algeria,DZA,2021-01-29,0
Algeria,DZA,2021-01-30,0
Algeria,DZA,2021-02-19,0.17
Andorra,AND,2021-01-25,0.75
Andorra,AND,2021-02-01,1.34
Andorra,AND,2021-02-10,1.67
Andorra,AND,2021-02-12,2.1
Andorra,AND,2021-02-19,2.77
Andorra,AND,2021-02-24,3.09
Andorra,AND,2021-02-26,3.27
Andorra,AND,2021-03-08,4.67
Andorra,AND,2021-03-10,6.36
Andorra,AND,2021-03-15,10.82
Andorra,AND,2021-03-19,12.02
Andorra,AND,2021-04-04,16.1
Angola,AGO,2021-03-01,0
Angola,AGO,2021-03-08,0.02
Angola,AGO,2021-03-18,0.15
Angola,AGO,2021-03-24,0.26
Angola,AGO,2021-03-29,0.4
Angola,AGO,2021-04-06,0.55
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,8.94
Anguilla,AIA,2021-02-14,18.41
Anguilla,AIA,2021-02-26,26.19
Anguilla,AIA,2021-03-13,33.33
Anguilla,AIA,2021-03-19,35.65
Antigua and Barbuda,ATG,2021-02-16,0
Antigua and Barbuda,ATG,2021-03-15,24.68
Antigua and Barbuda,ATG,2021-03-19,26.22
Antigua and Barbuda,ATG,2021-03-25,26.98
Argentina,ARG,2020-12-29,0
Argentina,ARG,2020-12-31,0.07
Argentina,ARG,2021-01-04,0.09
Argentina,ARG,2021-01-08,0.24
Argentina,ARG,2021-01-13,0.37
Argentina,ARG,2021-01-15,0.44
Argentina,ARG,2021-01-20,0.55
Argentina,ARG,2021-01-21,0.59
Argentina,ARG,2021-01-22,0.62
Argentina,ARG,2021-01-23,0.64
Argentina,ARG,2021-01-24,0.65
Argentina,ARG,2021-01-25,0.65
Argentina,ARG,2021-01-26,0.68
Argentina,ARG,2021-01-27,0.7
Argentina,ARG,2021-01-28,0.73
Argentina,ARG,2021-01-29,0.76
Argentina,ARG,2021-01-30,0.81
Argentina,ARG,2021-02-01,0.83
Argentina,ARG,2021-02-03,0.88
Argentina,ARG,2021-02-04,0.98
Argentina,ARG,2021-02-06,1.04
Argentina,ARG,2021-02-07,1.11
Argentina,ARG,2021-02-08,1.13
Argentina,ARG,2021-02-09,1.14
Argentina,ARG,2021-02-10,1.18
Argentina,ARG,2021-02-11,1.27
Argentina,ARG,2021-02-12,1.31
Argentina,ARG,2021-02-13,1.34
Argentina,ARG,2021-02-14,1.35
Argentina,ARG,2021-02-15,1.35
Argentina,ARG,2021-02-16,1.35
Argentina,ARG,2021-02-17,1.35
Argentina,ARG,2021-02-18,1.41
Argentina,ARG,2021-02-19,1.48
Argentina,ARG,2021-02-20,1.56
Argentina,ARG,2021-02-21,1.59
Argentina,ARG,2021-02-22,1.6
Argentina,ARG,2021-02-23,1.65
Argentina,ARG,2021-02-24,1.73
Argentina,ARG,2021-02-25,1.84
Argentina,ARG,2021-02-26,2
Argentina,ARG,2021-02-27,2.18
Argentina,ARG,2021-02-28,2.27
Argentina,ARG,2021-03-01,2.32
Argentina,ARG,2021-03-02,2.49
Argentina,ARG,2021-03-03,2.61
Argentina,ARG,2021-03-04,2.77
Argentina,ARG,2021-03-05,3
Argentina,ARG,2021-03-07,3.38
Argentina,ARG,2021-03-08,3.42
Argentina,ARG,2021-03-09,3.65
Argentina,ARG,2021-03-10,3.93
Argentina,ARG,2021-03-11,4.25
Argentina,ARG,2021-03-12,4.64
Argentina,ARG,2021-03-13,5.08
Argentina,ARG,2021-03-14,5.27
Argentina,ARG,2021-03-15,5.32
Argentina,ARG,2021-03-16,5.62
Argentina,ARG,2021-03-17,5.9
Argentina,ARG,2021-03-18,6.21
Argentina,ARG,2021-03-19,6.5
Argentina,ARG,2021-03-20,6.78
Argentina,ARG,2021-03-21,6.9
Argentina,ARG,2021-03-22,6.95
Argentina,ARG,2021-03-23,7.17
Argentina,ARG,2021-03-24,7.37
Argentina,ARG,2021-03-25,7.45
Argentina,ARG,2021-03-26,7.69
Argentina,ARG,2021-03-27,7.9
Argentina,ARG,2021-03-28,8.02
Argentina,ARG,2021-03-29,8.07
Argentina,ARG,2021-03-30,8.29
Argentina,ARG,2021-03-31,8.61
Argentina,ARG,2021-04-01,8.9
Argentina,ARG,2021-04-02,9.12
Argentina,ARG,2021-04-03,9.25
Argentina,ARG,2021-04-04,9.37
Argentina,ARG,2021-04-05,9.43
Argentina,ARG,2021-04-06,9.74
Argentina,ARG,2021-04-07,10.12
Argentina,ARG,2021-04-08,10.56
Argentina,ARG,2021-04-09,10.97
Argentina,ARG,2021-04-10,11.51
Armenia,ARM,2021-03-31,0.02
Asia,,2020-12-15,0.03
Asia,,2020-12-19,0.03
Asia,,2020-12-20,0.03
Asia,,2020-12-21,0.03
Asia,,2020-12-22,0.03
Asia,,2020-12-23,0.04
Asia,,2020-12-24,0.04
Asia,,2020-12-25,0.04
Asia,,2020-12-26,0.04
Asia,,2020-12-27,0.04
Asia,,2020-12-28,0.04
Asia,,2020-12-29,0.05
Asia,,2020-12-30,0.05
Asia,,2020-12-31,0.12
Asia,,2021-01-01,0.12
Asia,,2021-01-02,0.12
Asia,,2021-01-03,0.13
Asia,,2021-01-04,0.13
Asia,,2021-01-05,0.15
Asia,,2021-01-06,0.15
Asia,,2021-01-07,0.16
Asia,,2021-01-08,0.16
Asia,,2021-01-09,0.26
Asia,,2021-01-10,0.26
Asia,,2021-01-11,0.27
Asia,,2021-01-12,0.27
Asia,,2021-01-13,0.3
Asia,,2021-01-14,0.31
Asia,,2021-01-15,0.32
Asia,,2021-01-16,0.33
Asia,,2021-01-17,0.34
Asia,,2021-01-18,0.35
Asia,,2021-01-19,0.37
Asia,,2021-01-20,0.49
Asia,,2021-01-21,0.5
Asia,,2021-01-22,0.52
Asia,,2021-01-23,0.53
Asia,,2021-01-24,0.54
Asia,,2021-01-25,0.55
Asia,,2021-01-26,0.56
Asia,,2021-01-27,0.75
Asia,,2021-01-28,0.77
Asia,,2021-01-29,0.8
Asia,,2021-01-30,0.81
Asia,,2021-01-31,0.85
Asia,,2021-02-01,0.87
Asia,,2021-02-02,0.88
Asia,,2021-02-03,1.05
Asia,,2021-02-04,1.08
Asia,,2021-02-05,1.1
Asia,,2021-02-06,1.12
Asia,,2021-02-07,1.12
Asia,,2021-02-08,1.14
Asia,,2021-02-09,1.36
Asia,,2021-02-10,1.39
Asia,,2021-02-11,1.41
Asia,,2021-02-12,1.44
Asia,,2021-02-13,1.46
Asia,,2021-02-14,1.47
Asia,,2021-02-15,1.5
Asia,,2021-02-16,1.53
Asia,,2021-02-17,1.56
Asia,,2021-02-18,1.61
Asia,,2021-02-19,1.64
Asia,,2021-02-20,1.67
Asia,,2021-02-21,1.68
Asia,,2021-02-22,1.7
Asia,,2021-02-23,1.73
Asia,,2021-02-24,1.77
Asia,,2021-02-25,1.8
Asia,,2021-02-26,1.83
Asia,,2021-02-27,1.86
Asia,,2021-02-28,2.13
Asia,,2021-03-01,2.16
Asia,,2021-03-02,2.21
Asia,,2021-03-03,2.25
Asia,,2021-03-04,2.3
Asia,,2021-03-05,2.35
Asia,,2021-03-06,2.4
Asia,,2021-03-07,2.42
Asia,,2021-03-08,2.48
Asia,,2021-03-09,2.54
Asia,,2021-03-10,2.6
Asia,,2021-03-11,2.63
Asia,,2021-03-12,2.69
Asia,,2021-03-13,2.74
Asia,,2021-03-14,3.03
Asia,,2021-03-15,3.13
Asia,,2021-03-16,3.21
Asia,,2021-03-17,3.29
Asia,,2021-03-18,3.36
Asia,,2021-03-19,3.48
Asia,,2021-03-20,3.77
Asia,,2021-03-21,3.8
Asia,,2021-03-22,4.02
Asia,,2021-03-23,4.17
Asia,,2021-03-24,4.31
Asia,,2021-03-25,4.51
Asia,,2021-03-26,4.72
Asia,,2021-03-27,4.9
Asia,,2021-03-28,5.01
Asia,,2021-03-29,5.15
Asia,,2021-03-30,5.29
Asia,,2021-03-31,5.5
Asia,,2021-04-01,5.77
Asia,,2021-04-02,6.03
Asia,,2021-04-03,6.18
Asia,,2021-04-04,6.34
Asia,,2021-04-05,6.51
Asia,,2021-04-06,6.71
Asia,,2021-04-07,6.87
Asia,,2021-04-08,7.14
Asia,,2021-04-09,7.37
Asia,,2021-04-10,7.55
Australia,AUS,2021-02-15,0
Australia,AUS,2021-02-16,0
Australia,AUS,2021-02-17,0
Australia,AUS,2021-02-18,0
Australia,AUS,2021-02-19,0
Australia,AUS,2021-02-20,0
Australia,AUS,2021-02-21,0
Australia,AUS,2021-02-22,0
Australia,AUS,2021-02-23,0.01
Australia,AUS,2021-02-24,0.03
Australia,AUS,2021-02-25,0.07
Australia,AUS,2021-02-26,0.1
Australia,AUS,2021-02-27,0.12
Australia,AUS,2021-02-28,0.13
Australia,AUS,2021-03-01,0.13
Australia,AUS,2021-03-02,0.16
Australia,AUS,2021-03-03,0.2
Australia,AUS,2021-03-04,0.24
Australia,AUS,2021-03-05,0.28
Australia,AUS,2021-03-06,0.3
Australia,AUS,2021-03-07,0.32
Australia,AUS,2021-03-08,0.34
Australia,AUS,2021-03-09,0.37
Australia,AUS,2021-03-10,0.42
Australia,AUS,2021-03-11,0.49
Australia,AUS,2021-03-12,0.53
Australia,AUS,2021-03-13,0.62
Australia,AUS,2021-03-14,0.64
Australia,AUS,2021-03-15,0.65
Australia,AUS,2021-03-16,0.72
Australia,AUS,2021-03-17,0.8
Australia,AUS,2021-03-18,0.89
Australia,AUS,2021-03-19,0.94
Australia,AUS,2021-03-20,1
Australia,AUS,2021-03-21,1.01
Australia,AUS,2021-03-22,1.11
Australia,AUS,2021-03-23,1.21
Australia,AUS,2021-03-24,1.39
Australia,AUS,2021-03-25,1.6
Australia,AUS,2021-03-26,1.8
Australia,AUS,2021-03-27,1.99
Australia,AUS,2021-03-28,2.01
Australia,AUS,2021-03-29,2.12
Australia,AUS,2021-03-30,2.34
Australia,AUS,2021-03-31,2.63
Australia,AUS,2021-04-01,2.92
Australia,AUS,2021-04-02,3.23
Australia,AUS,2021-04-03,3.25
Australia,AUS,2021-04-04,3.31
Australia,AUS,2021-04-05,3.31
Australia,AUS,2021-04-06,3.35
Australia,AUS,2021-04-07,3.61
Australia,AUS,2021-04-08,3.91
Australia,AUS,2021-04-09,4.23
Australia,AUS,2021-04-10,4.47
Austria,AUT,2020-12-27,0.01
Austria,AUT,2020-12-28,0.02
Austria,AUT,2020-12-29,0.04
Austria,AUT,2020-12-30,0.06
Austria,AUT,2020-12-31,0.06
Austria,AUT,2021-01-01,0.06
Austria,AUT,2021-01-02,0.06
Austria,AUT,2021-01-03,0.06
Austria,AUT,2021-01-04,0.06
Austria,AUT,2021-01-05,0.08
Austria,AUT,2021-01-06,0.09
Austria,AUT,2021-01-07,0.12
Austria,AUT,2021-01-08,0.26
Austria,AUT,2021-01-09,0.31
Austria,AUT,2021-01-10,0.34
Austria,AUT,2021-01-11,0.4
Austria,AUT,2021-01-12,0.56
Austria,AUT,2021-01-13,0.73
Austria,AUT,2021-01-14,0.91
Austria,AUT,2021-01-15,1.11
Austria,AUT,2021-01-16,1.19
Austria,AUT,2021-01-17,1.25
Austria,AUT,2021-01-18,1.38
Austria,AUT,2021-01-19,1.66
Austria,AUT,2021-01-20,1.92
Austria,AUT,2021-01-21,2.14
Austria,AUT,2021-01-22,2.27
Austria,AUT,2021-01-23,2.3
Austria,AUT,2021-01-24,2.32
Austria,AUT,2021-01-25,2.33
Austria,AUT,2021-01-26,2.43
Austria,AUT,2021-01-27,2.52
Austria,AUT,2021-01-28,2.63
Austria,AUT,2021-01-29,2.79
Austria,AUT,2021-01-30,2.83
Austria,AUT,2021-01-31,2.85
Austria,AUT,2021-02-01,2.9
Austria,AUT,2021-02-02,3.09
Austria,AUT,2021-02-03,3.28
Austria,AUT,2021-02-04,3.51
Austria,AUT,2021-02-05,3.74
Austria,AUT,2021-02-06,3.84
Austria,AUT,2021-02-07,3.89
Austria,AUT,2021-02-08,4
Austria,AUT,2021-02-09,4.21
Austria,AUT,2021-02-10,4.45
Austria,AUT,2021-02-11,4.72
Austria,AUT,2021-02-12,5.01
Austria,AUT,2021-02-13,5.13
Austria,AUT,2021-02-14,5.15
Austria,AUT,2021-02-15,5.23
Austria,AUT,2021-02-16,5.39
Austria,AUT,2021-02-17,5.6
Austria,AUT,2021-02-18,5.82
Austria,AUT,2021-02-19,6.05
Austria,AUT,2021-02-20,6.2
Austria,AUT,2021-02-21,6.26
Austria,AUT,2021-02-22,6.34
Austria,AUT,2021-02-23,6.5
Austria,AUT,2021-02-24,6.72
Austria,AUT,2021-02-25,6.94
Austria,AUT,2021-02-26,7.25
Austria,AUT,2021-02-27,7.52
Austria,AUT,2021-02-28,7.64
Austria,AUT,2021-03-01,7.73
Austria,AUT,2021-03-02,8.01
Austria,AUT,2021-03-03,8.32
Austria,AUT,2021-03-04,8.61
Austria,AUT,2021-03-05,9.01
Austria,AUT,2021-03-06,9.32
Austria,AUT,2021-03-07,9.45
Austria,AUT,2021-03-08,9.58
Austria,AUT,2021-03-09,9.89
Austria,AUT,2021-03-10,10.21
Austria,AUT,2021-03-11,10.7
Austria,AUT,2021-03-12,11.34
Austria,AUT,2021-03-13,11.91
Austria,AUT,2021-03-14,12.24
Austria,AUT,2021-03-15,12.47
Austria,AUT,2021-03-16,12.78
Austria,AUT,2021-03-17,13.15
Austria,AUT,2021-03-18,13.53
Austria,AUT,2021-03-19,14.11
Austria,AUT,2021-03-20,14.63
Austria,AUT,2021-03-21,14.8
Austria,AUT,2021-03-22,14.97
Austria,AUT,2021-03-23,15.35
Austria,AUT,2021-03-24,15.78
Austria,AUT,2021-03-25,16.28
Austria,AUT,2021-03-26,16.83
Austria,AUT,2021-03-27,17.27
Austria,AUT,2021-03-28,17.43
Austria,AUT,2021-03-29,17.72
Austria,AUT,2021-03-30,18.16
Austria,AUT,2021-03-31,18.54
Austria,AUT,2021-04-01,18.99
Austria,AUT,2021-04-02,19.47
Austria,AUT,2021-04-03,19.7
Austria,AUT,2021-04-04,19.81
Austria,AUT,2021-04-05,19.95
Austria,AUT,2021-04-06,20.35
Austria,AUT,2021-04-07,20.94
Austria,AUT,2021-04-08,21.69
Austria,AUT,2021-04-09,22.51
Austria,AUT,2021-04-10,23.2
Azerbaijan,AZE,2021-01-17,0
Azerbaijan,AZE,2021-02-06,0.64
Azerbaijan,AZE,2021-03-01,2.89
Azerbaijan,AZE,2021-03-03,3.33
Azerbaijan,AZE,2021-03-09,4.06
Azerbaijan,AZE,2021-03-10,4.23
Azerbaijan,AZE,2021-03-11,4.31
Azerbaijan,AZE,2021-03-12,4.38
Azerbaijan,AZE,2021-03-13,4.44
Azerbaijan,AZE,2021-03-14,4.47
Azerbaijan,AZE,2021-03-20,4.76
Azerbaijan,AZE,2021-03-26,5.03
Azerbaijan,AZE,2021-04-01,8.45
Azerbaijan,AZE,2021-04-02,8.77
Azerbaijan,AZE,2021-04-03,9.12
Azerbaijan,AZE,2021-04-04,9.35
Azerbaijan,AZE,2021-04-05,9.35
Azerbaijan,AZE,2021-04-06,9.69
Azerbaijan,AZE,2021-04-07,10.12
Azerbaijan,AZE,2021-04-08,10.55
Azerbaijan,AZE,2021-04-09,10.96
Azerbaijan,AZE,2021-04-10,11.38
Bahamas,BHS,2021-03-17,0.03
Bahamas,BHS,2021-03-18,1.78
Bahrain,BHR,2020-12-23,2.29
Bahrain,BHR,2020-12-24,2.94
Bahrain,BHR,2020-12-25,2.97
Bahrain,BHR,2020-12-26,3.03
Bahrain,BHR,2020-12-27,3.15
Bahrain,BHR,2020-12-28,3.23
Bahrain,BHR,2020-12-29,3.29
Bahrain,BHR,2020-12-30,3.37
Bahrain,BHR,2020-12-31,3.45
Bahrain,BHR,2021-01-01,3.49
Bahrain,BHR,2021-01-02,3.53
Bahrain,BHR,2021-01-03,3.57
Bahrain,BHR,2021-01-04,3.62
Bahrain,BHR,2021-01-05,3.75
Bahrain,BHR,2021-01-06,4.02
Bahrain,BHR,2021-01-07,4.25
Bahrain,BHR,2021-01-08,4.6
Bahrain,BHR,2021-01-09,4.95
Bahrain,BHR,2021-01-10,5.25
Bahrain,BHR,2021-01-11,5.44
Bahrain,BHR,2021-01-12,5.75
Bahrain,BHR,2021-03-06,29.77
Bahrain,BHR,2021-03-07,29.97
Bahrain,BHR,2021-03-08,30.11
Bahrain,BHR,2021-03-09,30.24
Bahrain,BHR,2021-03-10,30.44
Bahrain,BHR,2021-03-11,30.58
Bahrain,BHR,2021-03-12,30.7
Bahrain,BHR,2021-03-13,31.42
Bahrain,BHR,2021-03-14,32.39
Bahrain,BHR,2021-03-15,33.31
Bahrain,BHR,2021-03-16,34.12
Bahrain,BHR,2021-03-17,35.11
Bahrain,BHR,2021-03-18,36.08
Bahrain,BHR,2021-03-19,36.83
Bahrain,BHR,2021-03-20,37.62
Bahrain,BHR,2021-03-21,38.39
Bahrain,BHR,2021-03-22,39.21
Bahrain,BHR,2021-03-23,39.97
Bahrain,BHR,2021-03-24,40.83
Bahrain,BHR,2021-03-25,41.61
Bahrain,BHR,2021-03-26,42.16
Bahrain,BHR,2021-03-27,42.55
Bahrain,BHR,2021-03-28,43.24
Bahrain,BHR,2021-03-29,43.9
Bahrain,BHR,2021-03-30,44.4
Bahrain,BHR,2021-03-31,45.04
Bahrain,BHR,2021-04-01,45.56
Bahrain,BHR,2021-04-02,45.99
Bahrain,BHR,2021-04-03,46.89
Bahrain,BHR,2021-04-04,48.04
Bahrain,BHR,2021-04-05,49.18
Bahrain,BHR,2021-04-06,50.33
Bahrain,BHR,2021-04-07,51.71
Bahrain,BHR,2021-04-08,52.94
Bahrain,BHR,2021-04-09,54.02
Bahrain,BHR,2021-04-10,55.19
Bangladesh,BGD,2021-01-26,0
Bangladesh,BGD,2021-01-27,0
Bangladesh,BGD,2021-01-28,0
Bangladesh,BGD,2021-02-07,0.02
Bangladesh,BGD,2021-02-09,0.11
Bangladesh,BGD,2021-02-10,0.21
Bangladesh,BGD,2021-02-13,0.45
Bangladesh,BGD,2021-02-14,0.55
Bangladesh,BGD,2021-02-15,0.69
Bangladesh,BGD,2021-02-16,0.83
Bangladesh,BGD,2021-02-17,0.96
Bangladesh,BGD,2021-02-18,1.12
Bangladesh,BGD,2021-02-20,1.26
Bangladesh,BGD,2021-02-22,1.4
Bangladesh,BGD,2021-02-23,1.51
Bangladesh,BGD,2021-02-24,1.62
Bangladesh,BGD,2021-02-25,1.73
Bangladesh,BGD,2021-02-27,1.81
Bangladesh,BGD,2021-02-28,1.89
Bangladesh,BGD,2021-03-02,2.03
Bangladesh,BGD,2021-03-04,2.17
Bangladesh,BGD,2021-03-07,2.24
Bangladesh,BGD,2021-03-09,2.44
Bangladesh,BGD,2021-03-11,2.56
Bangladesh,BGD,2021-03-14,2.67
Bangladesh,BGD,2021-03-16,2.78
Bangladesh,BGD,2021-03-18,2.85
Bangladesh,BGD,2021-03-20,2.89
Bangladesh,BGD,2021-03-22,2.98
Bangladesh,BGD,2021-03-24,3.08
Bangladesh,BGD,2021-03-25,3.12
Bangladesh,BGD,2021-03-29,3.23
Bangladesh,BGD,2021-03-31,3.26
Bangladesh,BGD,2021-04-01,3.29
Bangladesh,BGD,2021-04-03,3.31
Bangladesh,BGD,2021-04-04,3.34
Bangladesh,BGD,2021-04-05,3.36
Bangladesh,BGD,2021-04-07,3.38
Bangladesh,BGD,2021-04-08,3.44
Bangladesh,BGD,2021-04-10,3.53
Barbados,BRB,2021-02-15,1.56
Barbados,BRB,2021-02-16,2.33
Barbados,BRB,2021-02-17,3.17
Barbados,BRB,2021-02-18,4
Barbados,BRB,2021-02-19,5.01
Barbados,BRB,2021-02-20,5.51
Barbados,BRB,2021-02-21,5.76
Barbados,BRB,2021-02-22,6.64
Barbados,BRB,2021-02-23,7.67
Barbados,BRB,2021-02-24,8.9
Barbados,BRB,2021-02-25,10.19
Barbados,BRB,2021-02-26,11.7
Barbados,BRB,2021-02-27,12.79
Barbados,BRB,2021-02-28,13.44
Barbados,BRB,2021-03-01,14.31
Barbados,BRB,2021-03-02,15.05
Barbados,BRB,2021-03-03,15.61
Barbados,BRB,2021-03-04,16.16
Barbados,BRB,2021-03-05,16.87
Barbados,BRB,2021-03-06,17.01
Barbados,BRB,2021-03-07,17.16
Barbados,BRB,2021-03-08,17.19
Barbados,BRB,2021-03-09,17.31
Barbados,BRB,2021-03-10,17.49
Barbados,BRB,2021-03-11,17.64
Barbados,BRB,2021-03-12,17.74
Barbados,BRB,2021-03-13,17.95
Barbados,BRB,2021-03-14,18.2
Barbados,BRB,2021-03-15,18.49
Barbados,BRB,2021-03-16,19.01
Barbados,BRB,2021-03-17,19.49
Barbados,BRB,2021-03-18,20.26
Barbados,BRB,2021-03-19,20.95
Barbados,BRB,2021-03-20,21.26
Barbados,BRB,2021-03-21,21.49
Barbados,BRB,2021-03-22,21.5
Barbados,BRB,2021-03-23,21.84
Barbados,BRB,2021-03-25,21.85
Barbados,BRB,2021-03-26,22.16
Barbados,BRB,2021-03-29,22.17
Barbados,BRB,2021-03-30,22.17
Barbados,BRB,2021-03-31,22.18
Barbados,BRB,2021-04-01,22.18
Barbados,BRB,2021-04-02,22.18
Barbados,BRB,2021-04-07,22.18
Barbados,BRB,2021-04-08,22.5
Barbados,BRB,2021-04-09,22.92
Belarus,BLR,2020-12-28,0
Belarus,BLR,2021-02-18,0.22
Belarus,BLR,2021-03-12,0.32
Belarus,BLR,2021-03-26,0.71
Belgium,BEL,2020-12-28,0
Belgium,BEL,2020-12-29,0
Belgium,BEL,2020-12-30,0.01
Belgium,BEL,2020-12-31,0.01
Belgium,BEL,2021-01-01,0.01
Belgium,BEL,2021-01-04,0.01
Belgium,BEL,2021-01-05,0.02
Belgium,BEL,2021-01-06,0.05
Belgium,BEL,2021-01-07,0.13
Belgium,BEL,2021-01-08,0.2
Belgium,BEL,2021-01-09,0.23
Belgium,BEL,2021-01-10,0.24
Belgium,BEL,2021-01-11,0.28
Belgium,BEL,2021-01-12,0.42
Belgium,BEL,2021-01-13,0.6
Belgium,BEL,2021-01-14,0.8
Belgium,BEL,2021-01-15,1.01
Belgium,BEL,2021-01-16,1.05
Belgium,BEL,2021-01-17,1.08
Belgium,BEL,2021-01-18,1.17
Belgium,BEL,2021-01-19,1.34
Belgium,BEL,2021-01-20,1.52
Belgium,BEL,2021-01-21,1.78
Belgium,BEL,2021-01-22,2.04
Belgium,BEL,2021-01-23,2.11
Belgium,BEL,2021-01-24,2.12
Belgium,BEL,2021-01-25,2.22
Belgium,BEL,2021-01-26,2.33
Belgium,BEL,2021-01-27,2.47
Belgium,BEL,2021-01-28,2.67
Belgium,BEL,2021-01-29,2.85
Belgium,BEL,2021-01-30,2.89
Belgium,BEL,2021-01-31,2.9
Belgium,BEL,2021-02-01,2.96
Belgium,BEL,2021-02-02,3.17
Belgium,BEL,2021-02-03,3.43
Belgium,BEL,2021-02-04,3.72
Belgium,BEL,2021-02-05,3.99
Belgium,BEL,2021-02-06,4.04
Belgium,BEL,2021-02-07,4.07
Belgium,BEL,2021-02-08,4.16
Belgium,BEL,2021-02-09,4.39
Belgium,BEL,2021-02-10,4.61
Belgium,BEL,2021-02-11,4.92
Belgium,BEL,2021-02-12,5.22
Belgium,BEL,2021-02-13,5.29
Belgium,BEL,2021-02-14,5.31
Belgium,BEL,2021-02-15,5.43
Belgium,BEL,2021-02-16,5.55
Belgium,BEL,2021-02-17,5.72
Belgium,BEL,2021-02-18,5.96
